rank,id,name,website,platform_type,pricing,availability,submission_url,follow_evidence,evidence_url,listing_indexability,domain_rating,opportunity_score,last_verified,limitations
1,plp-startup-fame,Startup Fame,https://startupfa.me,launch-board,freemium,live,https://startupfa.me/submit,observed-follow,https://startupfa.me/s/twinphone,indexable,83,96,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
2,plp-fazier,Fazier,https://fazier.com,launch-board,freemium,live,https://fazier.com/submit,observed-follow,https://fazier.com/launches/firsto,indexable,82,96,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
3,plp-uneed,Uneed,https://www.uneed.best,launch-board,freemium,live,https://www.uneed.best/submit-a-tool,observed-follow,https://www.uneed.best/tool/launchsaas,indexable,75,96,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
4,plp-shiny-launch,Shiny Launch,https://shinylaunch.com,launch-board,free,live,https://shinylaunch.com/submit,observed-follow,https://shinylaunch.com/product/bellqr,indexable,55,96,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
5,plp-nick-launches,Nick Launches,https://nicklaunches.com,launch-board,freemium,live,https://nicklaunches.com/submit/,observed-follow,https://nicklaunches.com/products/spacebrain/,indexable,73,95,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
6,plp-deeplaunch-io,DeepLaunch.io,https://deeplaunch.io,launch-board,freemium,live,https://deeplaunch.io/submit,observed-follow,https://deeplaunch.io/product/ai-text-cleaner,indexable,70,95,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
7,plp-openhunts,OpenHunts,https://openhunts.com,launch-board,freemium,live,https://openhunts.com/projects/submit,observed-follow,https://openhunts.com/projects/gorules,indexable,70,95,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
8,plp-betterlaunch,BetterLaunch,https://www.betterlaunch.co,launch-board,freemium,live,https://www.betterlaunch.co/submit,observed-follow,https://www.betterlaunch.co/product/calmcompliance,indexable,58,94,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
9,plp-launchzone,LaunchZone,https://launchzone.co,launch-board,freemium,live,https://launchzone.co/dashboard/submit,observed-follow,https://launchzone.co/p/aisa,indexable,52,93,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
10,plp-startupbase,StartupBase,https://startupbase.io,launch-board,freemium,live,https://startupbase.io/submit,observed-mixed,https://startupbase.io/products/liinks,indexable,71,91,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
11,plp-hunt0,HUNT0,https://hunt0.com,launch-board,freemium,live,https://hunt0.com/submit,observed-follow,https://hunt0.com/products/autobacklinks-ai-link-building-outreach-tool,indexable,32,91,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
12,plp-earlyhunt,EarlyHunt,https://earlyhunt.com,launch-board,freemium,live,https://earlyhunt.com/submit,observed-mixed,https://earlyhunt.com/project/realcostlabs,indexable,62,90,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
13,plp-indiehunt,Indiehunt,https://indiehunt.io,launch-board,freemium,live,https://indiehunt.io/submit,observed-mixed,https://indiehunt.io/project/url2pin,indexable,62,90,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
14,plp-firsto,Firsto,https://firsto.co,launch-board,freemium,live,https://firsto.co/projects/submit,observed-mixed,https://firsto.co/projects/fromflow,indexable,55,90,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
15,plp-launchfree-io,LaunchFree.io,https://launchfree.io,launch-board,free,live,https://launchfree.io/submit.html,observed-follow,https://launchfree.io/listings/horizonx.html,indexable,3,90,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
16,plp-shipboost,ShipBoost,https://shipboost.io,launch-board,freemium,live,https://shipboost.io/submit,observed-mixed,https://shipboost.io/blog/funding-predicts-prediction-market-prop-firm,indexable,49,89,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
17,plp-tinylaunchpad,TinyLaunchpad,https://tinylaunchpad.com,launch-board,freemium,live,https://tinylaunchpad.com/projects/submit,observed-mixed,https://tinylaunchpad.com/projects/spark7,indexable,45,89,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
18,plp-saashub,SaaSHub,https://www.saashub.com,product-directory,freemium,live,https://www.saashub.com/services/submit,observed-follow,https://www.saashub.com/peerpush,indexable,80,88,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
19,plp-founder-best,Founder.best,https://www.founder.best,launch-board,freemium,live,https://www.founder.best/submit,observed-mixed,https://www.founder.best/products/focusstack,indexable,37,88,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
20,plp-peerpush,PeerPush,https://peerpush.com,product-directory,freemium,live,https://peerpush.com/submit,observed-follow,https://peerpush.com/p/founderbest,indexable,73,87,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
21,plp-magicbox-tools,MagicBox.Tools,https://magicbox.tools,ai-software-directory,paid,live,https://magicbox.tools/submit,observed-follow,https://magicbox.tools/ai/inspia-ai,indexable,68,84,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
22,plp-toolfound,Toolfound,https://toolfound.com,ai-software-directory,mixed,live,https://toolfound.com/submit,observed-follow,https://toolfound.com/tool/awstats,indexable,3,80,2026-09-01,"A direct external link without nofollow, ugc or sponsored was observed on the cited public listing. Placement rules and templates can change; recheck before paying."
23,plp-codehype,CodeHype,https://www.codehype.ai,ai-software-directory,freemium,live,https://www.codehype.ai/submit,observed-mixed,https://www.codehype.ai/product/buildrship,indexable,12,79,2026-09-01,Observed listings use different rel treatment or eligibility rules. A follow link is possible but is not guaranteed for every tier or submission.
24,plp-openlaunch,OpenLaunch,https://open-launch.com,launch-board,freemium,live,https://open-launch.com/pricing,source-claimed-follow,,unknown,71,71,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
25,plp-microlaunch,MicroLaunch,https://microlaunch.net,launch-board,freemium,live,https://microlaunch.net/deals/submitator,source-claimed-follow,,unknown,62,70,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
