id,name,website,country,audience_geography,categories,industries,languages,opportunity_types,cost_model,priority,current_status,submission_url,pitch_url,press_release_url,advertising_url,media_kit_url,requires_editorial_approval,sponsored_content_available,backlink_type,link_target_type,listing_page_indexability,link_evidence_url,link_evidence_checked_at,media_score,media_score_band,publishing_model,best_for,note,limitations,last_verified
md-36kr,36氪,https://36kr.com,china,national,startup-media,saas,zh,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"China’s largest startup and venture publication, with a company database and funding coverage.","No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 3.",2026-08-08
md-anp-pers-support,ANP Pers Support,https://perssupport.nl,netherlands,national,press-release-distribution,general,nl,press-release,paid,P1,active,,,,,,,,,,,,,46,Limited,wire-carrier,,"The press-release distribution service of ANP, the Dutch national news agency, with a direct send route and published rules for what it accepts.","Paid distribution, not editorial coverage. ANP publishes rules and principles that a release must meet, and pricing was not read from the site. www.perssupport.nl redirects to this host.",2026-08-14
md-bizjournals,American City Business Journals,https://www.bizjournals.com,united-states,national,local-business-media,general,en,unknown,unknown,P1,unknown,,,,,,,,,,,,,,,unknown,,"The largest US metropolitan business-journal network, publishing a title in roughly 40 cities from one platform. [accessibility:2026-08-14] an automated browser check was refused by the site (cloudflare-interstitial); a browser check is needed by a person and the status stays unknown.","Reached but behind a bot filter, so the route could not be read from the site. A human needs to open it in a browser and confirm whether a submission or pitch route exists. Treated as ONE opportunity, not forty: phoenixbusinessjournal.com redirects to bizjournals.com/phoenix/ and BostInno to bizjournals.com/boston/inno, so the city titles share one system. Submitting to each city separately would be submitting to the same publisher forty times.",2026-08-14
md-archdaily,ArchDaily,https://www.archdaily.com,chile,global,construction-media,construction; real-estate,en; es,editorial-submission,free,P1,active,https://www.archdaily.com/submit-a-project,,,,,yes,,dofollow,direct,indexable,https://www.archdaily.com/catalog/en/companies/2472/electrolux-group,2026-08-21,89,Exceptional,staff-editorial,manufacturer,"The most-read architecture publication, with an open project submission route that publishes built work with drawings and credits.","Built architecture projects only, with professional photography. Not a route for company news.",2026-08-08
md-automotive-news,Automotive News,https://www.autonews.com,united-states,national,automotive-media,automotive,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,"The reference automotive industry trade publication, covering manufacturers, suppliers and dealers. [accessibility:2026-08-14] verified in a browser: masthead vocabulary; the masthead names itself as a publication.","The homepage and the contact and about pages it links to publish no submission, pitch or press-release route in words, so none is recorded; one may exist deeper in the site and a person would have to find it.",2026-08-14
md-betakit,BetaKit,https://betakit.com,canada,national,startup-media,fintech; saas,en,sponsored-content,unknown,P1,active,,,,https://betakit.com/advertise/,,,,,,,,,,,unknown,,Canada’s startup and venture publication of record.,"No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 2.",2026-08-08
md-business-wire,Business Wire,https://www.businesswire.com,united-states,global,press-release-distribution,general,en,press-release,paid,P1,unknown,,,,,,,,,,,,,43,Limited,wire-carrier,,A Berkshire Hathaway newswire used heavily for regulated financial disclosure and earnings releases. [accessibility:2026-08-14] an automated browser check was refused by the site (access-denied); a browser check is needed by a person and the status stays unknown.,"Reached but behind a bot filter, so the submission route could not be read from the site. Needs a browser check. Paid only.",2026-08-14
md-business-wire-india,Business Wire India,https://www.businesswireindia.com,india,national,press-release-distribution,general,en,press-release,paid,P1,active,,,https://www.businesswireindia.com/submit-press-release,,,,,,,,,,53,Moderate,wire-carrier,,"Indian newswire distributing corporate press releases to Indian newsrooms, with a self-serve client submission route and a separate media partner registration.","Paid distribution, not editorial coverage. Submission requires a client account; pricing was not read from the site.",2026-08-14
md-calcalistech,CTech,https://www.calcalistech.com,israel,national,startup-media; technology-media,ai; saas,en,unknown,unknown,P1,active,,,,,,,,,,,,,,,unknown,,English-language Israeli technology and venture coverage from Calcalist.,"No submission, pitch or contributor route could be established from the site. Confirm in a browser before building a workflow on it. Reached and identified during Wave 2.",2026-08-08
md-cx-today,CX Today,https://www.cxtoday.com,united-kingdom,global,telecom-media,saas; telecom,en,editorial-submission; press-release,free,P1,active,https://www.cxtoday.com/contact-us/,,,,,,,,,,,,90,Exceptional,staff-editorial,telecom-voip-ucaas; b2b-saas; startup,"Sister title to UC Today covering contact centre, CCaaS and customer experience technology, with news and submission routes.","Contact centre and CX rather than general telecom. Separate editorial desk from UC Today, so it is a separate submission and not a duplicate.",2026-08-08
